i,j,val
1,1,1.0
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,1.0
1,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
1,16,1.0
1,17,1.0
1,18,1.0
2,1,0.0
2,2,1.0
2,3,1.0
2,4,1.0
2,5,1.0
2,6,0.1269
2,7,1.0
2,8,1.0
2,9,1.0
2,10,1.0
2,11,1.0
2,12,1.0
2,13,1.0
2,14,0.0002
2,15,1.0
2,16,1.0
2,17,1.0
2,18,1.0
3,1,0.0
3,2,0.0
3,3,1.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.8393
3,9,0.0004
3,10,0.0
3,11,0.0
3,12,0.0
3,13,1.0
3,14,0.0
3,15,0.0
3,16,1.0
3,17,0.0
3,18,1.0
4,1,0.0
4,2,0.0
4,3,1.0
4,4,1.0
4,5,1.0
4,6,0.0
4,7,1.0
4,8,1.0
4,9,1.0
4,10,1.0
4,11,0.9998
4,12,1.0
4,13,1.0
4,14,0.0
4,15,0.9871
4,16,1.0
4,17,1.0
4,18,1.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,0.662
5,8,1.0
5,9,1.0
5,10,0.788
5,11,0.2655
5,12,0.6146
5,13,1.0
5,14,0.0
5,15,0.0288
5,16,1.0
5,17,0.784
5,18,1.0
6,1,0.0
6,2,0.8878
6,3,1.0
6,4,1.0
6,5,1.0
6,6,1.0
6,7,1.0
6,8,1.0
6,9,1.0
6,10,1.0
6,11,1.0
6,12,1.0
6,13,1.0
6,14,0.0074
6,15,1.0
6,16,1.0
6,17,1.0
6,18,1.0
7,1,0.0
7,2,0.0
7,3,1.0
7,4,0.0
7,5,0.3618
7,6,0.0
7,7,1.0
7,8,1.0
7,9,1.0
7,10,0.6629
7,11,0.1526
7,12,0.4614
7,13,1.0
7,14,0.0
7,15,0.0105
7,16,1.0
7,17,0.6586
7,18,1.0
8,1,0.0
8,2,0.0
8,3,0.1759
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,1.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,1.0
8,14,0.0
8,15,0.0
8,16,1.0
8,17,0.0
8,18,1.0
9,1,0.0
9,2,0.0
9,3,0.9997
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,1.0
9,9,1.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,1.0
9,14,0.0
9,15,0.0
9,16,1.0
9,17,0.0
9,18,1.0
10,1,0.0
10,2,0.0
10,3,1.0
10,4,0.0
10,5,0.231
10,6,0.0
10,7,0.361
10,8,1.0
10,9,1.0
10,10,1.0
10,11,0.0799
10,12,0.3163
10,13,1.0
10,14,0.0
10,15,0.0039
10,16,1.0
10,17,0.5126
10,18,1.0
11,1,0.0
11,2,0.0
11,3,1.0
11,4,0.0002
11,5,0.7556
11,6,0.0
11,7,0.8625
11,8,1.0
11,9,1.0
11,10,0.9294
11,11,1.0
11,12,0.8259
11,13,1.0
11,14,0.0
11,15,0.1007
11,16,1.0
11,17,0.9233
11,18,1.0
12,1,0.0
12,2,0.0
12,3,1.0
12,4,0.0
12,5,0.4104
12,6,0.0
12,7,0.5642
12,8,1.0
12,9,1.0
12,10,0.7061
12,11,0.1913
12,12,1.0
12,13,1.0
12,14,0.0
12,15,0.0142
12,16,1.0
12,17,0.7055
12,18,1.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,1.0
13,14,0.0
13,15,0.0
13,16,1.0
13,17,0.0
13,18,0.8428
14,1,0.0
14,2,0.9999
14,3,1.0
14,4,1.0
14,5,1.0
14,6,0.994
14,7,1.0
14,8,1.0
14,9,1.0
14,10,1.0
14,11,1.0
14,12,1.0
14,13,1.0
14,14,1.0
14,15,1.0
14,16,1.0
14,17,1.0
14,18,1.0
15,1,0.0
15,2,0.0
15,3,1.0
15,4,0.0152
15,5,0.9752
15,6,0.0
15,7,0.9912
15,8,1.0
15,9,1.0
15,10,0.9968
15,11,0.9104
15,12,0.988
15,13,1.0
15,14,0.0
15,15,1.0
15,16,1.0
15,17,0.9966
15,18,1.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,1.0
16,17,0.0
16,18,0.0003
17,1,0.0
17,2,0.0
17,3,1.0
17,4,0.0
17,5,0.2348
17,6,0.0
17,7,0.3648
17,8,1.0
17,9,1.0
17,10,0.5126
17,11,0.0863
17,12,0.3168
17,13,1.0
17,14,0.0
17,15,0.0041
17,16,1.0
17,17,1.0
17,18,1.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
18,13,0.1723
18,14,0.0
18,15,0.0
18,16,0.9998
18,17,0.0
18,18,1.0
